Disease,Symptom,Medicine
Peptic Ulcer,Blurred Vision,Azithromycin
Psoriasis,Runny Nose,Ciprofloxacin
Epilepsy,Swollen Lymph Nodes,Metformin
Whooping Cough,Numbness,Doxycycline
Allergy,Rapid Heartbeat,Ciprofloxacin
Vertigo,Headache,Azithromycin
Allergy,Swollen Lymph Nodes,Loratadine
Common Cold,Chest Pain,Topiramate
Bronchitis,Numbness,Levothyroxine
Pneumonia,Tremors,Adalimumab
Arthritis,Weight Loss,Ranitidine
Tuberculosis,Fever,Aspirin
Tuberculosis,Skin Rash,Chloroquine
COVID-19,Skin Rash,Budesonide
Bronchitis,Chest Pain,Calamine Lotion
Osteoporosis,Headache,Ranitidine
Glaucoma,Blurred Vision,Terbinafine
Multiple Sclerosis,Abdominal Pain,Calamine Lotion
Acne,Swelling,Omeprazole
Zika Virus,Muscle Weakness,Omeprazole
Psoriasis,Shortness of breath,Glibenclamide
Heart Disease,Cough,Ranitidine
Chronic Kidney Disease,Joint Pain,Loratadine
Psoriasis,Chest Pain,Hydrocortisone
Vertigo,Joint Pain,Prednisone
Allergy,Diarrhea,Losartan
Acne,Swollen Lymph Nodes,Loperamide
Lung Cancer,Weight Loss,Ciprofloxacin
Common Cold,Vomiting,Ranitidine
COVID-19,High Blood Pressure,Sildenafil
Bronchitis,Joint Pain,Sildenafil
Epilepsy,Dizziness,Propranolol
Bronchitis,Runny Nose,Ranitidine
Psoriasis,Weight Loss,Sumatriptan
Typhoid,Back Pain,Adalimumab
Lung Cancer,Shortness of breath,Losartan
COVID-19,Loss of Appetite,Amoxicillin
Allergy,Nausea,Ibuprofen
Dengue,Fatigue,Levothyroxine
Diabetes,Dizziness,Propranolol
Asthma,Runny Nose,Calamine Lotion
Multiple Sclerosis,Loss of Appetite,Ciprofloxacin
Allergy,Dizziness,Adalimumab
Fungal Infection,Numbness,Rifampin
Malaria,Joint Pain,Amoxicillin
Peptic Ulcer,Fever,Loperamide
Chickenpox,Shortness of breath,Ibuprofen
Peptic Ulcer,Chest Pain,Doxycycline
Typhoid,Numbness,Ondansetron
Osteoporosis,Swelling,Ibuprofen
Diabetes,Cough,Cetirizine
Diabetes,Swelling,Calamine Lotion
Whooping Cough,Sore Throat,Ranitidine
Peptic Ulcer,Tremors,Ciprofloxacin
Multiple Sclerosis,Abdominal Pain,Calamine Lotion
Psoriasis,Swollen Lymph Nodes,Loratadine
Osteoporosis,Chest Pain,Prednisone
Arthritis,High Blood Pressure,Chloroquine
Glaucoma,Back Pain,Hydrocortisone
Pneumonia,Shortness of breath,Topiramate
Eczema,Red Eyes,Calamine Lotion
Diabetes,Fatigue,Metformin
Common Cold,Chest Pain,Doxycycline
Hepatitis,Diarrhea,Hydrocortisone
Migraine,Sore Throat,Isoniazid
Chickenpox,Skin Rash,Ondansetron
Hepatitis,Runny Nose,Ondansetron
Ulcerative Colitis,Back Pain,Paracetamol
Zika Virus,Vomiting,Rifampin
Whooping Cough,Fever,Sildenafil
Allergy,Blurred Vision,Losartan
Gastroenteritis,Nausea,Glibenclamide
Chronic Kidney Disease,Muscle Weakness,Ranitidine
Gastroenteritis,Nausea,Aspirin
Chronic Kidney Disease,Rapid Heartbeat,Topiramate
Lung Cancer,Headache,Omeprazole
Sinusitis,Blurred Vision,Rifampin
Pneumonia,Chest Pain,Glibenclamide
Peptic Ulcer,Nausea,Chloroquine
Typhoid,Joint Pain,Loratadine
Tuberculosis,Shortness of breath,Hydrocortisone
Allergy,Skin Rash,Amoxicillin
Zika Virus,Fever,Azithromycin
Multiple Sclerosis,Chest Pain,Aspirin
Jaundice,Loss of Appetite,Rifampin
Chickenpox,Loss of Appetite,Budesonide
Glaucoma,Blurred Vision,Aspirin
Lung Cancer,Shortness of breath,Cetirizine
Tuberculosis,Fever,Topiramate
Malaria,Joint Pain,Calamine Lotion
Asthma,Headache,Omeprazole
Malaria,Loss of Appetite,Hydrocortisone
COVID-19,Ear Pain,Isoniazid
Diabetes,Shortness of breath,Ibuprofen
Whooping Cough,Fever,Chloroquine
Epilepsy,Tremors,Budesonide
Hypertension,Skin Rash,Sildenafil
Glaucoma,Abdominal Pain,Amoxicillin
COVID-19,Joint Pain,Ranitidine
Glaucoma,Swollen Lymph Nodes,Budesonide
Pneumonia,Fever,Glibenclamide
Pneumonia,Headache,Levothyroxine
Zika Virus,Dizziness,Aspirin
Hepatitis,Shortness of breath,Rifampin
Glaucoma,Dizziness,Levothyroxine
Lung Cancer,Night Sweats,Budesonide
Heart Disease,Rapid Heartbeat,Omeprazole
Bronchitis,Sore Throat,Budesonide
Hypertension,Headache,Losartan
Common Cold,Fever,Loratadine
Pneumonia,Fatigue,Terbinafine
Urinary Tract Infection,Diarrhea,Terbinafine
Migraine,High Blood Pressure,Amoxicillin
Osteoporosis,Shortness of breath,Metformin
Arthritis,Weight Loss,Ibuprofen
Acne,Skin Rash,Propranolol
Hypertension,Fatigue,Hydrocortisone
Sinusitis,Itching,Terbinafine
Gastroenteritis,Night Sweats,Prednisone
Asthma,Sore Throat,Aspirin
Fungal Infection,Itching,Amoxicillin
Osteoporosis,Cough,Topiramate
Acne,Tremors,Amoxicillin
Diabetes,Blurred Vision,Cetirizine
Hypertension,Numbness,Rifampin
COVID-19,Muscle Weakness,Prednisone
Multiple Sclerosis,Sore Throat,Adalimumab
Common Cold,Cough,Losartan
Pneumonia,Red Eyes,Metformin
Gastroenteritis,Loss of Appetite,Loperamide
Psoriasis,Abdominal Pain,Ranitidine
Zika Virus,Vomiting,Metformin
Typhoid,Itching,Ranitidine
Jaundice,Blurred Vision,Loratadine
Osteoporosis,Abdominal Pain,Hydrocortisone
Jaundice,Back Pain,Glibenclamide
Malaria,Muscle Weakness,Chloroquine
Bronchitis,Diarrhea,Metformin
Gastroenteritis,Joint Pain,Amoxicillin
Influenza,Dizziness,Loratadine
Hypertension,Nausea,Aspirin
Bronchitis,Night Sweats,Levothyroxine
Epilepsy,Headache,Glibenclamide
Ulcerative Colitis,Joint Pain,Rifampin
Vertigo,Weight Loss,Azithromycin
Peptic Ulcer,Cough,Hydrocortisone
Fungal Infection,Night Sweats,Levothyroxine
Eczema,Diarrhea,Levothyroxine
Influenza,Headache,Isoniazid
Typhoid,Joint Pain,Ondansetron
Whooping Cough,Joint Pain,Isoniazid
Urinary Tract Infection,Diarrhea,Aspirin
Migraine,Weight Loss,Rifampin
COVID-19,Fever,Loperamide
Migraine,Dizziness,Ibuprofen
Hepatitis,Muscle Weakness,Ciprofloxacin
Zika Virus,Weight Loss,Amoxicillin
Hepatitis,Swelling,Losartan
Heart Disease,Dizziness,Calamine Lotion
Hypertension,Cough,Sumatriptan
Whooping Cough,Weight Loss,Ranitidine
Heart Disease,Muscle Weakness,Aspirin
Jaundice,Fever,Levothyroxine
Typhoid,Runny Nose,Sildenafil
Dengue,High Blood Pressure,Amoxicillin
Arthritis,Sore Throat,Prednisone
Acne,Blurred Vision,Terbinafine
Asthma,Runny Nose,Calamine Lotion
Tuberculosis,Nausea,Prednisone
Epilepsy,Joint Pain,Paracetamol
Migraine,Night Sweats,Adalimumab
Arthritis,Ear Pain,Amoxicillin
Allergy,Night Sweats,Levothyroxine
Glaucoma,Swollen Lymph Nodes,Calamine Lotion
Lung Cancer,Back Pain,Ciprofloxacin
Chronic Kidney Disease,Dizziness,Cetirizine
Heart Disease,Sore Throat,Rifampin
Hepatitis,Ear Pain,Metformin
Whooping Cough,Swelling,Propranolol
Epilepsy,Diarrhea,Ciprofloxacin
Influenza,Itching,Terbinafine
Epilepsy,Sore Throat,Topiramate
Diabetes,Weight Loss,Losartan
Psoriasis,Chest Pain,Losartan
Psoriasis,Dizziness,Metformin
Epilepsy,Red Eyes,Ondansetron
Hepatitis,Swelling,Ondansetron
Common Cold,High Blood Pressure,Sumatriptan
Hepatitis,Tremors,Rifampin
Lung Cancer,Loss of Appetite,Ciprofloxacin
Ulcerative Colitis,Numbness,Cetirizine
Glaucoma,Joint Pain,Sildenafil
Jaundice,Cough,Propranolol
Asthma,Fever,Ibuprofen
Glaucoma,Swollen Lymph Nodes,Azithromycin
Jaundice,Vomiting,Sumatriptan
Bronchitis,Sore Throat,Terbinafine
Peptic Ulcer,Weight Loss,Loratadine
Hepatitis,Red Eyes,Sumatriptan
Diabetes,Rapid Heartbeat,Propranolol
Vertigo,Nausea,Aspirin
Multiple Sclerosis,Runny Nose,Losartan
COVID-19,Swelling,Adalimumab
Epilepsy,Tremors,Doxycycline
Epilepsy,Runny Nose,Budesonide
COVID-19,Ear Pain,Isoniazid
Asthma,Chest Pain,Sumatriptan
Common Cold,Red Eyes,Levothyroxine
Osteoporosis,Back Pain,Ranitidine
Multiple Sclerosis,Diarrhea,Omeprazole
Multiple Sclerosis,Ear Pain,Calamine Lotion
Fungal Infection,Cough,Ranitidine
Bronchitis,Red Eyes,Budesonide
Arthritis,Rapid Heartbeat,Cetirizine
Typhoid,Numbness,Paracetamol
Eczema,Red Eyes,Prednisone
Urinary Tract Infection,Ear Pain,Loperamide
Jaundice,Ear Pain,Metformin
Heart Disease,Loss of Appetite,Chloroquine
Asthma,Abdominal Pain,Ibuprofen
Vertigo,Headache,Sumatriptan
Lung Cancer,Dizziness,Isoniazid
Acne,Back Pain,Ondansetron
Chickenpox,Nausea,Rifampin
Arthritis,Joint Pain,Metformin
Allergy,Ear Pain,Ibuprofen
Lung Cancer,Swelling,Budesonide
Tuberculosis,Vomiting,Calamine Lotion
Heart Disease,Joint Pain,Chloroquine
Eczema,Loss of Appetite,Ibuprofen
Osteoporosis,Fever,Calamine Lotion
Influenza,High Blood Pressure,Sumatriptan
Heart Disease,Back Pain,Azithromycin
Migraine,Back Pain,Hydrocortisone
Lung Cancer,Joint Pain,Isoniazid
Vertigo,Blurred Vision,Chloroquine
Hypertension,Swelling,Losartan
Peptic Ulcer,High Blood Pressure,Azithromycin
Lung Cancer,Sore Throat,Adalimumab
Pneumonia,Nausea,Budesonide
Ulcerative Colitis,Loss of Appetite,Sildenafil
Bronchitis,Weight Loss,Levothyroxine
Arthritis,Sore Throat,Metformin
Multiple Sclerosis,Nausea,Sumatriptan
Urinary Tract Infection,Fever,Metformin
Whooping Cough,Dizziness,Levothyroxine
Acne,Abdominal Pain,Sildenafil
Sinusitis,Fever,Prednisone
Acne,Tremors,Loratadine
Osteoporosis,Back Pain,Ranitidine
Influenza,Red Eyes,Metformin
Typhoid,Abdominal Pain,Omeprazole
Pneumonia,High Blood Pressure,Aspirin
Allergy,Itching,Prednisone
Gastroenteritis,Night Sweats,Budesonide
Urinary Tract Infection,Dizziness,Cetirizine
Malaria,Back Pain,Chloroquine
Common Cold,Runny Nose,Aspirin
Dengue,Blurred Vision,Calamine Lotion
Lung Cancer,Red Eyes,Sildenafil
Peptic Ulcer,Weight Loss,Topiramate
Influenza,Chest Pain,Amoxicillin
Allergy,Swollen Lymph Nodes,Ibuprofen
Acne,Numbness,Topiramate
Bronchitis,Dizziness,Chloroquine
Zika Virus,Muscle Weakness,Ibuprofen
Typhoid,Fever,Cetirizine
Asthma,Tremors,Loratadine
COVID-19,Joint Pain,Aspirin
Gastroenteritis,Loss of Appetite,Isoniazid
Migraine,Muscle Weakness,Aspirin
Epilepsy,Shortness of breath,Topiramate
Malaria,Dizziness,Loratadine
Whooping Cough,Tremors,Topiramate
Jaundice,Red Eyes,Sildenafil
Diabetes,Swelling,Omeprazole
Zika Virus,Red Eyes,Hydrocortisone
Vertigo,Headache,Metformin
Epilepsy,Blurred Vision,Levothyroxine
Acne,Tremors,Prednisone
Whooping Cough,Runny Nose,Rifampin
Gastroenteritis,Weight Loss,Glibenclamide
Diabetes,Red Eyes,Rifampin
Ulcerative Colitis,Skin Rash,Losartan
Sinusitis,Headache,Glibenclamide
Sinusitis,Chest Pain,Hydrocortisone
Bronchitis,Numbness,Chloroquine
Peptic Ulcer,Headache,Metformin
Jaundice,Muscle Weakness,Adalimumab
Zika Virus,Shortness of breath,Doxycycline
Lung Cancer,Blurred Vision,Doxycycline
Allergy,Chest Pain,Glibenclamide
Hypertension,Loss of Appetite,Loperamide
Malaria,Itching,Losartan
Acne,Chest Pain,Metformin
Urinary Tract Infection,Itching,Sildenafil
Jaundice,Loss of Appetite,Aspirin
Peptic Ulcer,Blurred Vision,Terbinafine
Diabetes,Dizziness,Chloroquine
Chronic Kidney Disease,Itching,Cetirizine
Malaria,High Blood Pressure,Loperamide
Chronic Kidney Disease,Night Sweats,Hydrocortisone
Arthritis,Abdominal Pain,Glibenclamide
Tuberculosis,Night Sweats,Ibuprofen
Eczema,Chest Pain,Topiramate
Osteoporosis,Skin Rash,Doxycycline
Urinary Tract Infection,Shortness of breath,Rifampin
COVID-19,Swollen Lymph Nodes,Ranitidine
Psoriasis,Joint Pain,Ondansetron
Arthritis,Red Eyes,Cetirizine
Peptic Ulcer,Muscle Weakness,Adalimumab
Pneumonia,Diarrhea,Hydrocortisone
Asthma,Diarrhea,Omeprazole
Vertigo,Weight Loss,Loperamide
Pneumonia,Swollen Lymph Nodes,Metformin
Malaria,Shortness of breath,Amoxicillin
Pneumonia,Blurred Vision,Ondansetron
Epilepsy,Cough,Cetirizine
Diabetes,Loss of Appetite,Loperamide
Chickenpox,Itching,Propranolol
Lung Cancer,Joint Pain,Sumatriptan
Chronic Kidney Disease,Cough,Doxycycline
Ulcerative Colitis,Itching,Loratadine
Pneumonia,Abdominal Pain,Topiramate
Diabetes,Swelling,Loperamide
Epilepsy,Nausea,Isoniazid
Typhoid,Diarrhea,Propranolol
Psoriasis,Joint Pain,Azithromycin
Jaundice,High Blood Pressure,Rifampin
COVID-19,Muscle Weakness,Isoniazid
Fungal Infection,Rapid Heartbeat,Ciprofloxacin
Lung Cancer,Cough,Ondansetron
Influenza,Fever,Ciprofloxacin
Malaria,Dizziness,Aspirin
Osteoporosis,Fatigue,Glibenclamide
Common Cold,Shortness of breath,Hydrocortisone
Psoriasis,Night Sweats,Budesonide
Diabetes,Vomiting,Chloroquine
Fungal Infection,Swollen Lymph Nodes,Rifampin
Chickenpox,Red Eyes,Doxycycline
Eczema,Cough,Doxycycline
Bronchitis,High Blood Pressure,Isoniazid
Hepatitis,Shortness of breath,Losartan
Lung Cancer,Cough,Sumatriptan
Common Cold,Runny Nose,Ibuprofen
Peptic Ulcer,Sore Throat,Isoniazid
Fungal Infection,Swollen Lymph Nodes,Hydrocortisone
Heart Disease,Shortness of breath,Loperamide
Migraine,Headache,Levothyroxine
Psoriasis,High Blood Pressure,Terbinafine
Chickenpox,Headache,Ranitidine
Asthma,Weight Loss,Isoniazid
Fungal Infection,Muscle Weakness,Aspirin
Typhoid,Fever,Topiramate
Urinary Tract Infection,Night Sweats,Aspirin
Vertigo,Skin Rash,Amoxicillin
Sinusitis,Red Eyes,Loperamide
Pneumonia,Swollen Lymph Nodes,Sumatriptan
Acne,Fever,Azithromycin
Glaucoma,Swollen Lymph Nodes,Rifampin
Lung Cancer,Chest Pain,Ciprofloxacin
Dengue,Runny Nose,Calamine Lotion
Influenza,Blurred Vision,Adalimumab
Allergy,Swollen Lymph Nodes,Aspirin
Pneumonia,Numbness,Rifampin
Jaundice,Joint Pain,Propranolol
Vertigo,Nausea,Azithromycin
Lung Cancer,Swelling,Omeprazole
Osteoporosis,Fever,Paracetamol
Heart Disease,Rapid Heartbeat,Ondansetron
Urinary Tract Infection,Vomiting,Omeprazole
Vertigo,Vomiting,Chloroquine
Chickenpox,Skin Rash,Ranitidine
Zika Virus,Sore Throat,Calamine Lotion
Osteoporosis,Swelling,Sildenafil
COVID-19,Fever,Sildenafil
Dengue,Rapid Heartbeat,Loratadine
COVID-19,Fatigue,Doxycycline
Glaucoma,Dizziness,Sildenafil
Acne,Rapid Heartbeat,Azithromycin
Gastroenteritis,Tremors,Budesonide
Chronic Kidney Disease,Back Pain,Ciprofloxacin
Pneumonia,Ear Pain,Omeprazole
Heart Disease,Vomiting,Levothyroxine
Diabetes,Muscle Weakness,Amoxicillin
Hypertension,Headache,Isoniazid
Heart Disease,Red Eyes,Ibuprofen
Glaucoma,Abdominal Pain,Ondansetron
Epilepsy,Tremors,Loratadine
Glaucoma,High Blood Pressure,Sumatriptan
Fungal Infection,Dizziness,Hydrocortisone
Dengue,Nausea,Glibenclamide
Gastroenteritis,Dizziness,Aspirin
Lung Cancer,Itching,Aspirin
Dengue,Night Sweats,Topiramate
Malaria,Ear Pain,Terbinafine
Gastroenteritis,Swelling,Loperamide
Glaucoma,Sore Throat,Metformin
Hepatitis,Headache,Ondansetron
Influenza,Back Pain,Adalimumab
Asthma,Weight Loss,Ondansetron
Gastroenteritis,Skin Rash,Ranitidine
Asthma,Ear Pain,Levothyroxine
Eczema,Blurred Vision,Terbinafine
Dengue,Loss of Appetite,Aspirin
Glaucoma,Nausea,Doxycycline
Fungal Infection,Runny Nose,Calamine Lotion
Diabetes,Chest Pain,Calamine Lotion
Tuberculosis,Rapid Heartbeat,Losartan
Malaria,Weight Loss,Adalimumab
Bronchitis,Loss of Appetite,Budesonide
Eczema,Nausea,Topiramate
Vertigo,Abdominal Pain,Sildenafil
Vertigo,Night Sweats,Metformin
Chickenpox,Abdominal Pain,Ranitidine
Dengue,Red Eyes,Azithromycin
Bronchitis,Ear Pain,Sildenafil
Vertigo,Diarrhea,Prednisone
Tuberculosis,Fever,Levothyroxine
Hypertension,Vomiting,Terbinafine
Typhoid,Shortness of breath,Isoniazid
Chickenpox,Cough,Ciprofloxacin
Malaria,Diarrhea,Losartan
Pneumonia,High Blood Pressure,Aspirin
Gastroenteritis,Red Eyes,Ibuprofen
Hypertension,Swelling,Metformin
Allergy,Chest Pain,Metformin
Gastroenteritis,Weight Loss,Amoxicillin
Multiple Sclerosis,Swollen Lymph Nodes,Loperamide
Glaucoma,Headache,Ranitidine
Fungal Infection,Runny Nose,Topiramate
Tuberculosis,Swollen Lymph Nodes,Glibenclamide
Sinusitis,Vomiting,Isoniazid
Influenza,Weight Loss,Cetirizine
Asthma,Blurred Vision,Cetirizine
Allergy,Numbness,Aspirin
Pneumonia,Blurred Vision,Cetirizine
Epilepsy,Skin Rash,Isoniazid
Jaundice,Chest Pain,Propranolol
Sinusitis,Chest Pain,Ondansetron
Sinusitis,Tremors,Terbinafine
Multiple Sclerosis,Back Pain,Topiramate
Gastroenteritis,Runny Nose,Loperamide
Dengue,Nausea,Calamine Lotion
Dengue,Blurred Vision,Aspirin
Epilepsy,Muscle Weakness,Glibenclamide
Eczema,Fatigue,Cetirizine
Dengue,High Blood Pressure,Metformin
COVID-19,Rapid Heartbeat,Calamine Lotion
Hepatitis,Rapid Heartbeat,Sildenafil
Fungal Infection,Weight Loss,Sumatriptan
Ulcerative Colitis,Cough,Metformin
Malaria,Vomiting,Isoniazid
Acne,Abdominal Pain,Amoxicillin
Arthritis,Fatigue,Sildenafil
Acne,Muscle Weakness,Omeprazole
Psoriasis,Joint Pain,Rifampin
Urinary Tract Infection,Cough,Loratadine
Bronchitis,Numbness,Aspirin
Migraine,Muscle Weakness,Ranitidine
Zika Virus,Loss of Appetite,Amoxicillin
Bronchitis,Fatigue,Topiramate
Vertigo,Back Pain,Ciprofloxacin
Influenza,Night Sweats,Propranolol
Bronchitis,Swollen Lymph Nodes,Ibuprofen
Fungal Infection,Itching,Losartan
Osteoporosis,Itching,Budesonide
Vertigo,Back Pain,Terbinafine
Whooping Cough,Loss of Appetite,Topiramate
Lung Cancer,Itching,Doxycycline
Diabetes,Headache,Propranolol
COVID-19,Red Eyes,Ibuprofen
COVID-19,Back Pain,Budesonide
Hepatitis,Numbness,Isoniazid
Zika Virus,Swollen Lymph Nodes,Amoxicillin
Bronchitis,Abdominal Pain,Doxycycline
Acne,Ear Pain,Losartan
Psoriasis,Loss of Appetite,Loratadine
Common Cold,Rapid Heartbeat,Metformin
Heart Disease,Vomiting,Terbinafine
Tuberculosis,Fever,Ibuprofen
Whooping Cough,Night Sweats,Levothyroxine
Chronic Kidney Disease,Headache,Loratadine
Gastroenteritis,Back Pain,Losartan
Chickenpox,Diarrhea,Hydrocortisone
Hepatitis,Blurred Vision,Doxycycline
Ulcerative Colitis,Muscle Weakness,Propranolol
Arthritis,Numbness,Cetirizine
Whooping Cough,Blurred Vision,Chloroquine
Urinary Tract Infection,Weight Loss,Aspirin
Gastroenteritis,Sore Throat,Azithromycin
Malaria,Fever,Aspirin
Hepatitis,Swollen Lymph Nodes,Azithromycin
Epilepsy,Nausea,Paracetamol
Vertigo,Night Sweats,Rifampin
COVID-19,Nausea,Ibuprofen
Hepatitis,Chest Pain,Metformin
Vertigo,Fever,Ciprofloxacin
Hepatitis,Skin Rash,Terbinafine
Acne,Loss of Appetite,Sildenafil
Vertigo,Sore Throat,Ciprofloxacin
Bronchitis,Blurred Vision,Adalimumab
Zika Virus,Swollen Lymph Nodes,Ranitidine
Tuberculosis,Swelling,Ranitidine
Allergy,Back Pain,Hydrocortisone
Malaria,Back Pain,Amoxicillin
Osteoporosis,Rapid Heartbeat,Metformin
Acne,Weight Loss,Cetirizine
Zika Virus,Tremors,Levothyroxine
Allergy,Back Pain,Loperamide
Urinary Tract Infection,Abdominal Pain,Ciprofloxacin
Diabetes,Skin Rash,Amoxicillin
Typhoid,Blurred Vision,Chloroquine
Psoriasis,Diarrhea,Loratadine
Common Cold,Joint Pain,Adalimumab
Eczema,Night Sweats,Losartan
Diabetes,Abdominal Pain,Loperamide
Arthritis,Abdominal Pain,Metformin
Glaucoma,Red Eyes,Ondansetron
Asthma,Chest Pain,Doxycycline
Zika Virus,Runny Nose,Terbinafine
Pneumonia,Vomiting,Cetirizine
Fungal Infection,Runny Nose,Aspirin
Allergy,Diarrhea,Sumatriptan
Migraine,Red Eyes,Hydrocortisone
Glaucoma,Headache,Losartan
Osteoporosis,Shortness of breath,Sumatriptan
Urinary Tract Infection,Headache,Ibuprofen
Acne,Fever,Aspirin
Peptic Ulcer,Swollen Lymph Nodes,Calamine Lotion
Eczema,Blurred Vision,Metformin
Gastroenteritis,Abdominal Pain,Amoxicillin
Multiple Sclerosis,Vomiting,Metformin
Ulcerative Colitis,Runny Nose,Glibenclamide
Psoriasis,Dizziness,Azithromycin
Bronchitis,Muscle Weakness,Budesonide
Heart Disease,Muscle Weakness,Loratadine
Whooping Cough,Diarrhea,Budesonide
Hypertension,Runny Nose,Terbinafine
Influenza,Weight Loss,Azithromycin
Dengue,Dizziness,Doxycycline
Tuberculosis,Abdominal Pain,Budesonide
Jaundice,Loss of Appetite,Cetirizine
Multiple Sclerosis,Chest Pain,Loratadine
COVID-19,Chest Pain,Adalimumab
Chickenpox,Abdominal Pain,Ondansetron
Hepatitis,Swollen Lymph Nodes,Cetirizine
Multiple Sclerosis,Itching,Isoniazid
Heart Disease,Chest Pain,Ondansetron
Jaundice,Cough,Omeprazole
Psoriasis,Tremors,Losartan
Lung Cancer,Nausea,Cetirizine
Heart Disease,Cough,Budesonide
Whooping Cough,Cough,Terbinafine
Multiple Sclerosis,Red Eyes,Adalimumab
Acne,Swelling,Hydrocortisone
Vertigo,Tremors,Ranitidine
Gastroenteritis,Swollen Lymph Nodes,Budesonide
Hypertension,Blurred Vision,Ranitidine
Diabetes,Chest Pain,Isoniazid
Heart Disease,Loss of Appetite,Omeprazole
Gastroenteritis,Fatigue,Amoxicillin
Zika Virus,Loss of Appetite,Adalimumab
Asthma,Numbness,Rifampin
Chronic Kidney Disease,Sore Throat,Amoxicillin
Glaucoma,Vomiting,Loratadine
Typhoid,Shortness of breath,Omeprazole
Allergy,Runny Nose,Sildenafil
Chronic Kidney Disease,Runny Nose,Levothyroxine
Osteoporosis,Shortness of breath,Aspirin
Common Cold,Tremors,Omeprazole
Psoriasis,Red Eyes,Glibenclamide
Diabetes,Diarrhea,Sumatriptan
Eczema,Sore Throat,Terbinafine
Sinusitis,Rapid Heartbeat,Glibenclamide
Multiple Sclerosis,Numbness,Cetirizine
Influenza,Fever,Rifampin
Asthma,Abdominal Pain,Sildenafil
Diabetes,Tremors,Rifampin
Gastroenteritis,Tremors,Ciprofloxacin
Urinary Tract Infection,Headache,Omeprazole
Multiple Sclerosis,Swollen Lymph Nodes,Ciprofloxacin
Sinusitis,Dizziness,Ranitidine
Asthma,Chest Pain,Hydrocortisone
Eczema,Dizziness,Glibenclamide
Arthritis,Sore Throat,Ranitidine
Ulcerative Colitis,Loss of Appetite,Loratadine
Dengue,Cough,Terbinafine
Ulcerative Colitis,Rapid Heartbeat,Ondansetron
Jaundice,Runny Nose,Isoniazid
Common Cold,Loss of Appetite,Ranitidine
Pneumonia,Swollen Lymph Nodes,Ranitidine
Acne,Rapid Heartbeat,Ciprofloxacin
Urinary Tract Infection,Headache,Omeprazole
Jaundice,Runny Nose,Amoxicillin
Diabetes,Chest Pain,Chloroquine
Allergy,Tremors,Cetirizine
Peptic Ulcer,Back Pain,Loperamide
Tuberculosis,High Blood Pressure,Hydrocortisone
Dengue,Blurred Vision,Hydrocortisone
Pneumonia,Weight Loss,Ranitidine
Multiple Sclerosis,Tremors,Budesonide
Epilepsy,Skin Rash,Ibuprofen
Allergy,Rapid Heartbeat,Loratadine
Sinusitis,Fever,Chloroquine
Zika Virus,Tremors,Ibuprofen
Diabetes,Rapid Heartbeat,Ranitidine
Vertigo,Fever,Prednisone
Hepatitis,Rapid Heartbeat,Ondansetron
Acne,Blurred Vision,Sildenafil
Lung Cancer,Blurred Vision,Adalimumab
Chronic Kidney Disease,Sore Throat,Metformin
Fungal Infection,Chest Pain,Sumatriptan
Heart Disease,Dizziness,Ciprofloxacin
Glaucoma,Diarrhea,Hydrocortisone
Asthma,Sore Throat,Loratadine
Chickenpox,Rapid Heartbeat,Ondansetron
Osteoporosis,Itching,Calamine Lotion
Migraine,Sore Throat,Propranolol
Osteoporosis,Skin Rash,Paracetamol
Eczema,Tremors,Aspirin
Common Cold,Weight Loss,Loratadine
Common Cold,Sore Throat,Paracetamol
Epilepsy,Skin Rash,Ibuprofen
Common Cold,Ear Pain,Loratadine
Peptic Ulcer,Blurred Vision,Ciprofloxacin
Whooping Cough,Abdominal Pain,Sildenafil
Urinary Tract Infection,Itching,Losartan
Allergy,Fatigue,Paracetamol
Heart Disease,Sore Throat,Aspirin
Gastroenteritis,Swollen Lymph Nodes,Ondansetron
Gastroenteritis,Numbness,Ondansetron
Arthritis,Back Pain,Metformin
Acne,Fatigue,Hydrocortisone
Whooping Cough,Swelling,Doxycycline
Migraine,Chest Pain,Propranolol
Peptic Ulcer,Dizziness,Doxycycline
Ulcerative Colitis,High Blood Pressure,Adalimumab
COVID-19,Sore Throat,Azithromycin
Sinusitis,Skin Rash,Azithromycin
Arthritis,Tremors,Terbinafine
Chickenpox,Fatigue,Terbinafine
Vertigo,Chest Pain,Cetirizine
Whooping Cough,Night Sweats,Loratadine
Hepatitis,Swelling,Chloroquine
Peptic Ulcer,Night Sweats,Metformin
Typhoid,Shortness of breath,Loratadine
Fungal Infection,Nausea,Losartan
Glaucoma,Back Pain,Ondansetron
Peptic Ulcer,Rapid Heartbeat,Glibenclamide
Common Cold,Diarrhea,Paracetamol
Peptic Ulcer,Diarrhea,Topiramate
Allergy,Shortness of breath,Loratadine
Ulcerative Colitis,Weight Loss,Loratadine
Epilepsy,Loss of Appetite,Loperamide
Influenza,Vomiting,Loperamide
COVID-19,Ear Pain,Ibuprofen
Pneumonia,Tremors,Amoxicillin
Eczema,Swelling,Chloroquine
Psoriasis,Numbness,Amoxicillin
Pneumonia,Loss of Appetite,Azithromycin
Chronic Kidney Disease,Weight Loss,Azithromycin
Hepatitis,Blurred Vision,Terbinafine
Dengue,Cough,Sildenafil
Vertigo,Night Sweats,Losartan
Sinusitis,Sore Throat,Amoxicillin
Malaria,Weight Loss,Adalimumab
Acne,Headache,Losartan
